Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Average Speed,Driver Behavior,Reason for lane change,Remarks
Vehicle,1 Lane Right,1st Lane,,9:34:23,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,2nd Lane,,9:35:03,Moderate (34 - 80 %),,,Taxi loading unloading in lane 1,
Vehicle,1 Lane Right,1st Lane,,9:35:05,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,Sudden Acceleration,9:35:36,Moderate (34 - 80 %),44.0,,No Traffic,
Vehicle,1 Lane Right,1st Lane,,9:36:26,Moderate (34 - 80 %),,,Merging 2 lanes to 3 lanes,
Stoplight,Stop,1st Lane,,9:37:06,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,9:37:56,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Right,1st Lane,,9:38:18,Moderate (34 - 80 %),,,Moving to bike lane for loading,
Passenger,Load,1st Lane,,9:38:42,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,9:39:22,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,2nd Lane,,9:39:25,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,3rd Lane,,9:39:50,Moderate (34 - 80 %),,,Construction in lane1,
Vehicle,1 Lane Right,2nd Lane,,9:39:56,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,3rd Lane,,9:40:23,Moderate (34 - 80 %),,,,CUT?
Passenger,Load,2nd Lane,,9:44:16,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Right,1st Lane,,9:44:38,Moderate (34 - 80 %),,,Coming from 2 lanes to 3 lanes,
Passenger,Unload,2nd Lane,,9:44:39,Moderate (34 - 80 %),,,,
Vehicle,Go,2nd Lane,,9:44:44,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Right,1st Lane,,9:45:01,Moderate (34 - 80 %),,,,
Passenger,Unload,1st Lane,,9:45:38,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,,9:45:15,Low (0 - 33 %),,,,
Passenger,Unload,1st Lane,,9:46:02,Low (0 - 33 %),,,,
Vehicle,Go,1st Lane,Sudden Acceleration,9:47:01,Low (0 - 33 %),28.0,,,
Passenger,Load,1st Lane,,9:47:25,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,9:47:33,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,2nd Lane,,9:47:42,Moderate (34 - 80 %),,,Idle Car in Lane 1,
Vehicle,1 Lane Right,1st Lane,,9:47:51,Moderate (34 - 80 %),,,,
Passenger,Unload,1st Lane,,9:47:59,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,9:48:03,Moderate (34 - 80 %),,,,
Passenger,Unload,1st Lane,,9:48:37,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,9:48:44,Moderate (34 - 80 %),,,,
Vehicle,Stop,1st Lane,,9:48:58,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,9:49:02,Moderate (34 - 80 %),,,,
Vehicle,Stop,1st Lane,,9:49:15,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,9:49:18,Moderate (34 - 80 %),,,,
Vehicle,Stop,1st Lane,,9:49:25,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,9:49:30,Moderate (34 - 80 %),,,,
Vehicle,Stop,1st Lane,,9:50:01,Moderate (34 - 80 %),,,Stopped for Gas,
Vehicle,Go,1st Lane,,9:54:44,Moderate (34 - 80 %),,,,
Stoplight,Stop,1st Lane,,9:55:49,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,9:56:39,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,2nd Lane,,9:57:07,Moderate (34 - 80 %),,,Car Parked/Idle in lane 1,
Vehicle,1 Lane Right,1st Lane,,9:57:18,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,2nd Lane,,9:57:25,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Right,1st Lane,,9:57:31,Moderate (34 - 80 %),,,,
Passenger,Unload,1st Lane,,9:57:37,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,2nd Lane,,9:58:00,Moderate (34 - 80 %),,,,
Passenger,Load,1st Lane,,9:58:16,Moderate (34 - 80 %),,,,
Vehicle,Go,1st Lane,,9:58:27,Moderate (34 - 80 %),,,,
Vehicle,1 Lane Left,1st Lane,,9:58:42,Moderate (34 - 80 %),,,Pedestrians in lane 1,
